Common Name,Genus,Species,Subspecies,Major Common Type
Northern Mole Skink,Plestiodon,egregius,similis,lizard
Common Five-Lined Skink,Plestiodon,fasciatus,,lizard
Gilbert's Skink,Plestiodon,gilberti,,lizard
Variegated Skink,Plestiodon,gilberti,cancellosus,lizard
Greater Brown Skink,Plestiodon,gilberti,gilberti,lizard
Northern Brown Skink,Plestiodon,gilberti,placerensis,lizard
Western Red-Tailed Skink,Plestiodon,gilberti,rubricaudatus,lizard
Southeastern Five-Lined Skink,Plestiodon,inexpectatus,,lizard
Broad-Headed Skink,Plestiodon,laticeps,,lizard
Many-Lined Skink,Plestiodon,multivirgatus,,lizard
Variable Skink,Plestiodon,multivirgatus,epipleurotus,lizard
Northern Many-Lined Skink,Plestiodon,multivirgatus,multivirgatus,lizard
Great Plains Skink,Plestiodon,obsoletus,,lizard
Florida Sand Skink,Plestiodon,reynoldsi,,lizard
Prairie Skink,Plestiodon,septentrionalis,,lizard
Southern Prairie Skink,Plestiodon,septentrionalis,obtusirostris,lizard
Pallid Skink,Plestiodon,septentrionalis,pallidus,lizard
Northern Prairie Skink,Plestiodon,septentrionalis,septentrionalis,lizard
Western Skink,Plestiodon,skiltonianus,,lizard
Coronado Skink,Plestiodon,skiltonianus,interparietalis,lizard
Skilton's Skink,Plestiodon,skiltonianus,skiltonianus,lizard
Great Basin Skink,Plestiodon,skiltonianus,utahensis,lizard
Four-Lined Skink,Plestiodon,tetragrammus,,lizard
Short-Lined Skink,Plestiodon,tetragrammus,brevilineatus,lizard
Long-Lined Skink,Plestiodon,tetragrammus,tetragrammus,lizard
Bay Springs Salamander,Plethodon,ainsworthi,,salamander
Western Slimy Salamander,Plethodon,albagula,,salamander
Blue Ridge Gray-Cheeked Salamander,Plethodon,amplus,,salamander
Ozark Zigzag Salamander,Plethodon,angusticlavius,,salamander
Scott Bar Salamander,Plethodon,asupak,,salamander
Tellico Salamander,Plethodon,aureolus,,salamander
Caddo Mountain Salamander,Plethodon,caddoensis,,salamander
Chattahoochee Slimy Salamander,Plethodon,chattahoochee,,salamander
Cheoah Bald Salamander,Plethodon,cheoah,,salamander
Atlantic Coast Slimy Salamander,Plethodon,chlorobryonis,,salamander
Eastern Red-Backed Salamander,Plethodon,cinereus,,salamander
White-Spotted Slimy Salamander,Plethodon,cylindraceus,,salamander
Northern Zigzag Salamander,Plethodon,dorsalis,,salamander
Dunn's Salamander,Plethodon,dunni,,salamander
Northern Ravine Salamander,Plethodon,electromorphus,,salamander
Del Norte Salamander,Plethodon,elongatus,,salamander
Fourche Mountain Salamander,Plethodon,fourchensis,,salamander
Northern Slimy Salamander,Plethodon,glutinosus,,salamander
Southeastern Slimy Salamander,Plethodon,grobmani,,salamander
Valley and Ridge Salamander,Plethodon,hoffmani,,salamander
Peaks of Otter Salamander,Plethodon,hubrichti,,salamander
Coeur D'alene Salamander,Plethodon,idahoensis,,salamander
Red-Cheeked Salamander,Plethodon,jordani,,salamander
Cumberland Plateau Salamander,Plethodon,kentucki,,salamander
Kiamichi Slimy Salamander,Plethodon,kiamichi,,salamander
Louisiana Slimy Salamander,Plethodon,kisatchie,,salamander
Larch Mountain Salamander,Plethodon,larselli,,salamander
South Mountain Gray-Cheeked Salamander,Plethodon,meridianus,,salamander
Southern Gray-Cheeked Salamander,Plethodon,metcalfi,,salamander
Mississippi Slimy Salamander,Plethodon,mississippi,,salamander
Northern Gray-Cheeked Salamander,Plethodon,montanus,,salamander
Jemez Mountains Salamander,Plethodon,neomexicanus,,salamander
Cheat Mountain Salamander,Plethodon,nettingi,,salamander
Ocmulgee Slimy Salamander,Plethodon,ocmulgee,,salamander
Rich Mountain Salamander,Plethodon,ouachitae,,salamander
Pigeon Mountain Salamander,Plethodon,petraeus,,salamander
Cow Knob Salamander,Plethodon,punctatus,,salamander
Southern Ravine Salamander,Plethodon,richmondi,,salamander
Savannah Slimy Salamander,Plethodon,savannah,,salamander
Sequoyah Slimy Salamander,Plethodon,sequoyah,,salamander
Southern Red-Backed Salamander,Plethodon,serratus,,salamander
Shenandoah Salamander,Plethodon,shenandoah,,salamander
Big Levels Salamander,Plethodon,sherando,,salamander
Red-Legged Salamander,Plethodon,shermani,,salamander
Siskiyou Mountains Salamander,Plethodon,stormi,,salamander
Southern Appalachian Salamander,Plethodon,teyahalee,,salamander
Van Dyke's Salamander,Plethodon,vandykei,,salamander
South Carolina Slimy Salamander,Plethodon,variolatus,,salamander
Western Red-Backed Salamander,Plethodon,vehiculum,,salamander
Southern Zigzag Salamander,Plethodon,ventralis,,salamander
Shenandoah Mountain Salamander,Plethodon,virginia,,salamander
Webster's Salamander,Plethodon,websteri,,salamander
Wehrle's Salamander,Plethodon,wehrlei,,salamander
Weller's Salamander,Plethodon,welleri,,salamander
Yonahlossee Salamander,Plethodon,yonahlossee,,salamander
Common Wall Lizard,Podarcis,muralis,,lizard
Italian Wall Lizard,Podarcis,siculus,,lizard
Mountain Chorus Frog,Pseudacris,brachyphona,,frog
Brimley's Chorus Frog,Pseudacris,brimleyi,,frog
California Treefrog,Pseudacris,cadaverina,,frog
Spotted Chorus Frog,Pseudacris,clarkii,,frog
Spring Peeper,Pseudacris,crucifer,,frog
Upland Chorus Frog,Pseudacris,feriarum,,frog
Cajun Chorus Frog,Pseudacris,fouquettei,,frog
Baja California Treefrog,Pseudacris,hypochondriaca,,frog
Northern Baja California Treefrog,Pseudacris,hypochondriaca,hypochondriaca,frog
Illinois Chorus Frog,Pseudacris,illinoensis,,frog
New Jersey Chorus Frog,Pseudacris,kalmi,,frog
Boreal Chorus Frog,Pseudacris,maculata,,frog
Southern Chorus Frog,Pseudacris,nigrita,,frog
Little Grass Frog,Pseudacris,ocularis,,frog
Ornate Chorus Frog,Pseudacris,ornata,,frog
Pacific Treefrog,Pseudacris,regilla,,frog
Sierran Treefrog,Pseudacris,sierra,,frog
Strecker's Chorus Frog,Pseudacris,streckeri,,frog
Western Chorus Frog,Pseudacris,triseriata,,frog
Alabama Red-Bellied Cooter,Pseudemys,alabamensis,,turtle
River Cooter,Pseudemys,concinna,,turtle
Eastern River Cooter,Pseudemys,concinna,concinna,turtle
Coastal Plain Cooter,Pseudemys,concinna,floridana,turtle
Rio Grande Cooter,Pseudemys,gorzugi,,turtle
Florida Red-Bellied Cooter,Pseudemys,nelsoni,,turtle
Peninsula Cooter,Pseudemys,peninsularis,,turtle
Northern Red-Bellied Cooter,Pseudemys,rubriventris,,turtle
Suwannee Cooter,Pseudemys,suwanniensis,,turtle
Texas Cooter,Pseudemys,texana,,turtle
Southern Dwarf Siren,Pseudobranchus,axanthus,,salamander
Narrow-Striped Dwarf Siren,Pseudobranchus,axanthus,axanthus,salamander
Everglades Dwarf Siren,Pseudobranchus,axanthus,belli,salamander
Northern Dwarf Siren,Pseudobranchus,striatus,,salamander
Gulf Hammock Dwarf Siren,Pseudobranchus,striatus,lustricolus,salamander
Slender Dwarf Siren,Pseudobranchus,striatus,spheniscus,salamander
Broad-Striped Dwarf Siren,Pseudobranchus,striatus,striatus,salamander
Mud Salamander,Pseudotriton,montanus,,salamander
Midland Mud Salamander,Pseudotriton,montanus,diastictus,salamander
Gulf Coast Mud Salamander,Pseudotriton,montanus,flavissimus,salamander
Rusty Mud Salamander,Pseudotriton,montanus,floridanus,salamander
Eastern Mud Salamander,Pseudotriton,montanus,montanus,salamander
Red Salamander,Pseudotriton,ruber,,salamander
Blue Ridge Red Salamander,Pseudotriton,ruber,nitidus,salamander
Northern Red Salamander,Pseudotriton,ruber,ruber,salamander
Black-Chinned Red Salamander,Pseudotriton,ruber,schencki,salamander
Southern Red Salamander,Pseudotriton,ruber,vioscai,salamander
Indian Python,Python,molurus,,snake
Burmese Python,Python,molurus,bivittatus,snake
Northern African Rock Python,Python,sebae,,snake
Northern Red-Legged Frog,Rana,aurora,,frog
Foothill Yellow-Legged Frog,Rana,boylii,,frog
Cascades Frog,Rana,cascadae,,frog
California Red-Legged Frog,Rana,draytonii,,frog
Columbia Spotted Frog,Rana,luteiventris,,frog
Southern Mountain Yellow-Legged Frog,Rana,muscosa,,frog
Oregon Spotted Frog,Rana,pretiosa,,frog
Sierra Nevada Yellow-Legged Frog,Rana,sierrae,,frog
Graham's Crawfish Snake,Regina,grahamii,,snake
Queensnake,Regina,septemvittata,,snake
New Mexico Threadsnake,Rena,dissecta,,snake
Texas Threadsnake,Rena,dulcis,,snake
Plains Threadsnake,Rena,dulcis,dulcis,snake
South Texas Threadsnake,Rena,dulcis,rubella,snake
Western Threadsnake,Rena,humilis,,snake
Desert Threadsnake,Rena,humilis,cahuilae,snake
Southwestern Threadsnake,Rena,humilis,humilis,snake
Trans-Pecos Threadsnake,Rena,humilis,segrega,snake
Utah Threadsnake,Rena,humilis,utahensis,snake
Pine Woods Littersnake,Rhadinaea,flavilata,,snake
Mesoamerican Cane Toad,Rhinella,horribilis,,frog
South American Cane Toad,Rhinella,marina,,frog
Florida Wormlizard,Rhineura,floridana,,lizard
Long-Nosed Snake,Rhinocheilus,lecontei,,snake
Burrowing Toad,Rhinophrynus,dorsalis,,frog
Cascade Torrent Salamander,Rhyacotriton,cascadae,,salamander
Columbia Torrent Salamander,Rhyacotriton,kezeri,,salamander
Olympic Torrent Salamander,Rhyacotriton,olympicus,,salamander
Southern Torrent Salamander,Rhyacotriton,variegatus,,salamander
Eastern Patch-Nosed Snake,Salvadora,grahamiae,,snake
Mountain Patch-Nosed Snake,Salvadora,grahamiae,grahamiae,snake
Texas Patch-Nosed Snake,Salvadora,grahamiae,lineata,snake
Western Patch-Nosed Snake,Salvadora,hexalepis,,snake
Big Bend Patch-Nosed Snake,Salvadora,hexalepis,deserticola,snake
Desert Patch-Nosed Snake,Salvadora,hexalepis,hexalepis,snake
Mohave Patch-Nosed Snake,Salvadora,hexalepis,mojavensis,snake
Coast Patch-Nosed Snake,Salvadora,hexalepis,virgultea ,snake
Argentine Giant Tegu,Salvator,merianae,,lizard
Common Chuckwalla,Sauromalus,ater,,lizard
Couch's Spadefoot,Scaphiopus,couchii,,frog
Eastern Spadefoot,Scaphiopus,holbrookii,,frog
Hurter's Spadefoot,Scaphiopus,hurterii,,frog
Dunes Sagebrush Lizard,Sceloporus,arenicolus,,lizard
Twin-Spotted Spiny Lizard,Sceloporus,bimaculosus,,lizard
Clark's Spiny Lizard,Sceloporus,clarkii,,lizard
Sonoran Spiny Lizard,Sceloporus,clarkii,clarkii,lizard
Plateau Spiny Lizard,Sceloporus,clarkii,vallaris,lizard
Prairie Lizard,Sceloporus,consobrinus,,lizard
Southwestern Fence Lizard,Sceloporus,cowlesi,,lizard
Blue Spiny Lizard,Sceloporus,cyanogenys,,lizard
Common Sagebrush Lizard,Sceloporus,graciosus,,lizard
Western Sagebrush Lizard,Sceloporus,graciosus,gracilis,lizard
Northern Sagebrush Lizard,Sceloporus,graciosus,graciosus,lizard
Southern Sagebrush Lizard,Sceloporus,graciosus,vandenburgianus,lizard
Graphic Spiny Lizard,Sceloporus,grammicus,,lizard
Mesquite Lizard,Sceloporus,grammicus,microlepidotus,lizard
Yarrow's Spiny Lizard,Sceloporus,jarrovii,,lizard
Desert Spiny Lizard,Sceloporus,magister,,lizard
Canyon Lizard,Sceloporus,merriami,,lizard
Big Bend Canyon Lizard,Sceloporus,merriami,annulatus,lizard
Presidio Canyon Lizard,Sceloporus,merriami,longipunctatus,lizard
Merriam's Canyon Lizard,Sceloporus,merriami,merriami,lizard
Western Fence Lizard,Sceloporus,occidentalis,,lizard
Island Fence Lizard,Sceloporus,occidentalis,becki,lizard
San Joaquin Fence Lizard,Sceloporus,occidentalis,biseriatus,lizard
Coast Range Fence Lizard,Sceloporus,occidentalis,bocourtii,lizard
Great Basin Fence Lizard,Sceloporus,occidentalis,longipes,lizard
Northwestern Fence Lizard,Sceloporus,occidentalis,occidentalis,lizard
Texas Spiny Lizard,Sceloporus,olivaceus,,lizard
Granite Spiny Lizard,Sceloporus,orcutti,,lizard
Crevice Spiny Lizard,Sceloporus,poinsettii,,lizard
Texas Crevice Spiny Lizard,Sceloporus,poinsettii,axtelli,lizard
New Mexico Crevice Spiny Lizard,Sceloporus,poinsettii,poinsettii,lizard
Slevin's Bunchgrass Lizard,Sceloporus,slevini,,lizard
Plateau Fence Lizard,Sceloporus,tristichus,,lizard
Eastern Fence Lizard,Sceloporus,undulatus,,lizard
Yellow-Backed Spiny Lizard,Sceloporus,uniformis,,lizard
Rose-Bellied Lizard,Sceloporus,variabilis,,lizard
Texas Rose-Bellied Lizard,Sceloporus,variabilis,marmoratus,lizard
Striped Plateau Lizard,Sceloporus,virgatus,,lizard
Florida Scrub Lizard,Sceloporus,woodi,,lizard
Little Brown Skink,Scincella,lateralis,,lizard
Green Ratsnake,Senticolis,triaspis,,snake
Northern Green Ratsnake,Senticolis,triaspis,intermedia,snake
Lesser Siren,Siren,intermedia,,salamander
Eastern Lesser Siren,Siren,intermedia,intermedia,salamander
Western Lesser Siren,Siren,intermedia,nettingi,salamander
Greater Siren,Siren,lacertina,,salamander
Eastern Massasauga,Sistrurus,catenatus,,snake
Pygmy Rattlesnake,Sistrurus,miliarius,,snake
Dusky Pygmy Rattlesnake,Sistrurus,miliarius,barbouri,snake
Carolina Pygmy Rattlesnake,Sistrurus,miliarius,miliarius,snake
Western Pygmy Rattlesnake,Sistrurus,miliarius,streckeri,snake
Western Massasauga,Sistrurus,tergeminus,,snake
Desert Massasauga,Sistrurus,tergeminus,edwardsii,snake
Prairie Massasauga,Sistrurus,tergeminus,tergeminus,snake
Mexican Treefrog,Smilisca,baudinii,,frog
Lowland Burrowing Treefrog,Smilisca,fodiens,,frog
Western Groundsnake,Sonora,semiannulata,,snake
Variable Groundsnake,Sonora,semiannulata,semiannulata,snake
Southern Texas Groundsnake,Sonora,semiannulata,taylori,snake
Plains Spadefoot,Spea,bombifrons,,frog
Western Spadefoot,Spea,hammondii,,frog
Great Basin Spadefoot,Spea,intermontana,,frog
Mexican Spadefoot,Spea,multiplicata,,frog
Chihuahuan Desert Spadefoot,Spea,multiplicata,stagnalis,frog
Ocellated Gecko,Sphaerodactylus,argus,,lizard
Ashy Gecko,Sphaerodactylus,elegans,,lizard
Reef Gecko,Sphaerodactylus,notatus,,lizard
Florida Reef Gecko,Sphaerodactylus,notatus,notatus,lizard
Pacific Coast Giant Musk Turtle,Staurotypus,salvinii,,turtle
Many-Lined Salamander,Stereochilus,marginatus,,salamander
Razor-Backed Musk Turtle,Sternotherus,carinatus,,turtle
Flattened Musk Turtle,Sternotherus,depressus,,turtle
Loggerhead Musk Turtle,Sternotherus,minor,,turtle
Eastern Loggerhead Musk Turtle,Sternotherus,minor,minor,turtle
Stripe-Necked Musk Turtle,Sternotherus,minor,peltifer,turtle
Eastern Musk Turtle,Sternotherus,odoratus,,turtle
Dekay's Brownsnake,Storeria,dekayi,,snake
Red-Bellied Snake,Storeria,occipitomaculata,,snake
Florida Brownsnake,Storeria,victa,,snake
Mexican Black-Headed Snake,Tantilla,atriceps,,snake
Southeastern Crowned Snake,Tantilla,coronata,,snake
Trans-Pecos Black-Headed Snake,Tantilla,cucullata,,snake
Flat-Headed Snake,Tantilla,gracilis,,snake
Smith's Black-Headed Snake,Tantilla,hobartsmithi,,snake
Plains Black-Headed Snake,Tantilla,nigriceps,,snake
Rim Rock Crowned Snake,Tantilla,oolitica,,snake
Western Black-Headed Snake,Tantilla,planiceps,,snake
Florida Crowned Snake,Tantilla,relicta,,snake
Central Florida Crowned Snake,Tantilla,relicta,neilli,snake
Coastal Dunes Crowned Snake,Tantilla,relicta,pamlica,snake
Peninsula Crowned Snake,Tantilla,relicta,relicta,snake
Chihuahuan Black-Headed Snake,Tantilla,wilcoxi,,snake
Yaqui Black-Headed Snake,Tantilla,yaquia,,snake
Ringed Wall Gecko,Tarentola,annularis,,lizard
Moorish Gecko,Tarentola,mauritanica,,lizard
Rough-Skinned Newt,Taricha,granulosa,,salamander
Red-Bellied Newt,Taricha,rivularis,,salamander
Sierra Newt,Taricha,sierrae,,salamander
California Newt,Taricha,torosa,,salamander
Florida Box Turtle,Terrapene,bauri,,turtle
Eastern Box Turtle,Terrapene,carolina,,turtle
Woodland Box Turtle,Terrapene,carolina,carolina,turtle
Three-Toed Box Turtle,Terrapene,carolina,triunguis,turtle
Ornate Box Turtle,Terrapene,ornata,,turtle
Desert Box Turtle,Terrapene,ornata,luteola,turtle
Plains Box Turtle,Terrapene,ornata,ornata,turtle
Aquatic Gartersnake,Thamnophis,atratus,,snake
Santa Cruz Gartersnake,Thamnophis,atratus,atratus,snake
Oregon Gartersnake,Thamnophis,atratus,hydrophilus,snake
Diablo Range Gartersnake,Thamnophis,atratus,zaxanthus,snake
Short-Headed Gartersnake,Thamnophis,brachystoma,,snake
Butler's Gartersnake,Thamnophis,butleri,,snake
Sierra Gartersnake,Thamnophis,couchii,,snake
Black-Necked Gartersnake,Thamnophis,cyrtopsis,,snake
Western Black-Necked Gartersnake,Thamnophis,cyrtopsis,cyrtopsis,snake
Eastern Black-Necked Gartersnake,Thamnophis,cyrtopsis,ocellatus,snake
Terrestrial Gartersnake,Thamnophis,elegans,,snake
Mountain Gartersnake,Thamnophis,elegans,elegans,snake
Coast Gartersnake,Thamnophis,elegans,terrestris,snake
Wandering Gartersnake,Thamnophis,elegans,vagrans,snake
Mexican Gartersnake,Thamnophis,eques,,snake
Brown Gartersnake,Thamnophis,eques,megalops,snake
Giant Gartersnake,Thamnophis,gigas,,snake
Two-Striped Gartersnake,Thamnophis,hammondii,,snake
Checkered Gartersnake,Thamnophis,marcianus,,snake
Marcy's Checkered Gartersnake,Thamnophis,marcianus,marcianus,snake
Northwestern Gartersnake,Thamnophis,ordinoides,,snake
Western Ribbonsnake,Thamnophis,proximus,,snake
Arid Land Ribbonsnake,Thamnophis,proximus,diabolicus,snake
Gulf Coast Ribbonsnake,Thamnophis,proximus,orarius,snake
Orange-Striped Ribbonsnake,Thamnophis,proximus,proximus,snake
Red-Striped Ribbonsnake,Thamnophis,proximus,rubrilineatus,snake
Plains Gartersnake,Thamnophis,radix,,snake
Narrow-Headed Gartersnake,Thamnophis,rufipunctatus,,snake
Eastern Ribbonsnake,Thamnophis,saurita,,snake
Blue-Striped Ribbonsnake,Thamnophis,saurita,nitae,snake
Peninsula Ribbonsnake,Thamnophis,saurita,sackenii,snake
Common Ribbonsnake,Thamnophis,saurita,saurita,snake
Northern Ribbonsnake,Thamnophis,saurita,septentrionalis,snake
Common Gartersnake,Thamnophis,sirtalis,,snake
Texas Gartersnake,Thamnophis,sirtalis,annectens,snake
Red-Spotted Gartersnake,Thamnophis,sirtalis,concinnus,snake
New Mexico Gartersnake,Thamnophis,sirtalis,dorsalis,snake
Valley Gartersnake,Thamnophis,sirtalis,fitchi,snake
California Red-Sided Gartersnake,Thamnophis,sirtalis,infernalis,snake
Maritime Gartersnake,Thamnophis,sirtalis,pallidulus,snake
Red-Sided Gartersnake,Thamnophis,sirtalis,parietalis,snake
Puget Sound Gartersnake,Thamnophis,sirtalis,pickeringii,snake
Chicago Gartersnake,Thamnophis,sirtalis,semifasciatus,snake
Blue-Striped Gartersnake,Thamnophis,sirtalis,similis,snake
Eastern Gartersnake,Thamnophis,sirtalis,sirtalis,snake
San Francisco Gartersnake,Thamnophis,sirtalis,tetrataenia,snake
Mexican Plateau Slider,Trachemys,gaigeae,,turtle
Big Bend Slider,Trachemys,gaigeae,gaigeae,turtle
Pond Slider,Trachemys,scripta,,turtle
Red-Eared Slider,Trachemys,scripta,elegans,turtle
Yellow-Bellied Slider,Trachemys,scripta,scripta,turtle
Cumberland Slider,Trachemys,scripta,troostii,turtle
African Five-Lined Skink,Trachylepis,quinquetaeniata,,lizard
Sonoran Lyresnake,Trimorphodon,lambda,,snake
California Lyresnake,Trimorphodon,lyrophanes,,snake
Texas Lyresnake,Trimorphodon,vilkinsonii,,snake
Jackson's Chameleon,Trioceros,jacksonii,,lizard
Lined Snake,Tropidoclonion,lineatum,,snake
Gold Tegu,Tupinambis,teguixin,,lizard
Coachella Fringe-Toed Lizard,Uma,inornata,,lizard
Colorado Desert Fringe-Toed Lizard,Uma,notata,,lizard
Yuman Desert Fringe-Toed Lizard,Uma,rufopunctata,,lizard
Mohave Fringe-Toed Lizard,Uma,scoparia,,lizard
Long-Tailed Brush Lizard,Urosaurus,graciosus,,lizard
Western Long-Tailed Brush Lizard,Urosaurus,graciosus,graciosus,lizard
Arizona Long-Tailed Brush Lizard,Urosaurus,graciosus,shannoni,lizard
Small-Scaled Lizard,Urosaurus,microscutatus,,lizard
Ornate Tree Lizard,Urosaurus,ornatus,,lizard
Smooth Tree Lizard,Urosaurus,ornatus,levis,lizard
Texas Tree Lizard,Urosaurus,ornatus,ornatus,lizard
Big Bend Tree Lizard,Urosaurus,ornatus,schmidti,lizard
Schott's Tree Lizard,Urosaurus,ornatus,schottii,lizard
Colorado River Tree Lizard,Urosaurus,ornatus,symmetricus,lizard
Northern Tree Lizard,Urosaurus,ornatus,wrighti,lizard
Patch-Nosed Salamander,Urspelerpes,brucei,,salamander
Common Side-Blotched Lizard,Uta,stansburiana,,lizard
Western Side-Blotched Lizard,Uta,stansburiana,elegans,lizard
Nevada Side-Blotched Lizard,Uta,stansburiana,nevadensis,lizard
Northern Side-Blotched Lizard,Uta,stansburiana,stansburiana,lizard
Eastern Side-Blotched Lizard,Uta,stansburiana,stejnegeri,lizard
Plateau Side-Blotched Lizard,Uta,stansburiana,uniformis,lizard
Nile Monitor,Varanus,niloticus,,lizard
Smooth Earthsnake,Virginia,valeriae,,snake
Western Smooth Snake,Virginia,valeriae,elegans,snake
Mountain Earthsnake,Virginia,valeriae,pulchra,snake
Eastern Smooth Earthsnake,Virginia,valeriae,valeriae,snake
Arizona Night Lizard,Xantusia,arizonae,,lizard
Bezy's Night Lizard,Xantusia,bezyi,,lizard
Sandstone Night Lizard,Xantusia,gracilis,,lizard
Granite Night Lizard,Xantusia,henshawi,,lizard
Island Night Lizard,Xantusia,riversiana,,lizard
San Clemente Night Lizard,Xantusia,riversiana,reticulata,lizard
San Nicolas Night Lizard,Xantusia,riversiana,riversiana,lizard
Sierra Night Lizard,Xantusia,sierrae,,lizard
Desert Night Lizard,Xantusia,vigilis,,lizard
Wiggins' Night Lizard,Xantusia,wigginsi,,lizard
African Clawed Frog,Xenopus,laevis,,frog
